"type","duration","distance","hour","day","month","year"
"scooter",187,308,18,0,7,2018
"scooter",822,1828,20,4,7,2018
"scooter",221,646,23,0,7,2018
"scooter",299,626,20,0,7,2018
"scooter",636,2612,11,0,7,2018
"scooter",318,1348,8,5,7,2018
"scooter",3542,1719,11,2,7,2018
"scooter",172,477,11,4,7,2018
"scooter",1994,4323,13,4,7,2018
"scooter",1006,409,15,1,7,2018
"scooter",24,0,9,5,7,2018
"scooter",435,0,20,2,7,2018
"scooter",398,698,18,3,7,2018
"scooter",144,459,7,5,7,2018
"scooter",198,625,23,5,7,2018
"scooter",283,278,13,1,7,2018
"scooter",2213,3351,16,0,7,2018
"bicycle",2276,5601,15,6,7,2018
"scooter",349,565,19,1,7,2018
"scooter",758,1373,16,6,7,2018
"scooter",288,876,8,3,7,2018
"scooter",931,2453,11,6,7,2018
"scooter",328,1301,20,1,7,2018
"scooter",459,1710,19,4,7,2018
"scooter",252,868,12,3,7,2018
"scooter",586,824,17,0,7,2018
"scooter",68,166,11,5,7,2018
"scooter",387,1197,13,0,7,2018
"bicycle",840,3299,17,4,7,2018
"scooter",504,1443,16,1,7,2018
"scooter",583,2441,20,1,7,2018
"scooter",520,1327,16,6,7,2018
"scooter",262,1251,17,5,7,2018
"scooter",1870,5233,13,0,7,2018
"scooter",333,460,17,2,7,2018
"scooter",142,571,14,2,7,2018
"scooter",439,1389,9,0,7,2018
"scooter",288,1168,8,4,7,2018
"scooter",19,4,12,0,7,2018
"scooter",287,477,17,0,7,2018
"scooter",1486,4214,11,0,7,2018
"bicycle",692,3042,13,3,7,2018
"scooter",462,1501,15,6,7,2018
"scooter",314,698,12,3,7,2018
"scooter",496,883,18,4,7,2018
"scooter",545,2489,14,5,7,2018
"scooter",498,1931,18,3,7,2018
"scooter",2384,3073,17,0,7,2018
"scooter",485,2082,14,1,7,2018
"scooter",469,788,14,1,7,2018
"scooter",113,340,14,1,7,2018
"scooter",325,1164,16,4,7,2018
"scooter",823,1362,1,1,7,2018
"scooter",838,2395,12,6,7,2018
"scooter",293,1114,13,5,7,2018
"scooter",1381,5353,13,3,7,2018
"scooter",484,1528,14,2,7,2018
"bicycle",4027,15450,10,4,7,2018
"scooter",828,2379,17,1,7,2018
"scooter",294,1004,15,4,7,2018
"bicycle",662,1819,15,4,7,2018
"scooter",389,437,9,6,7,2018
"scooter",124,169,8,5,7,2018
"scooter",677,1674,17,6,7,2018
"scooter",1159,2864,16,0,7,2018
"scooter",701,2336,13,6,7,2018
"scooter",2046,5534,14,6,7,2018
"scooter",183,762,12,2,7,2018
"scooter",169,227,13,6,7,2018
"scooter",690,1863,16,0,7,2018
"scooter",305,27,16,2,7,2018
"scooter",846,1993,17,3,7,2018
"scooter",627,2418,16,2,7,2018
"scooter",487,927,19,4,7,2018
"scooter",63,37,15,3,7,2018
"scooter",680,1505,16,2,7,2018
"bicycle",6744,8320,15,0,7,2018
"scooter",1039,2721,19,1,7,2018
"scooter",700,1226,18,3,7,2018
"scooter",1027,1791,20,0,7,2018
"scooter",332,918,19,2,7,2018
"scooter",192,569,19,3,7,2018
"scooter",2073,3048,19,6,7,2018
"scooter",117,248,12,0,7,2018
"bicycle",299,1078,10,5,7,2018
"scooter",482,2201,18,1,7,2018
"scooter",1222,1828,10,2,7,2018
"scooter",1379,2212,13,2,7,2018
"scooter",930,1682,20,6,7,2018
"scooter",158,700,12,2,7,2018
"scooter",1581,2020,11,0,7,2018
"scooter",853,1489,13,1,7,2018
"scooter",525,2568,9,1,7,2018
"scooter",1090,2220,18,6,7,2018
"scooter",607,915,17,4,7,2018
"scooter",530,1754,17,2,7,2018
"scooter",232,820,16,6,7,2018
"scooter",126,705,9,3,7,2018
"bicycle",344,821,14,3,7,2018
"scooter",167,98,18,4,7,2018
"scooter",1328,2183,20,4,7,2018
"scooter",355,1294,18,1,7,2018
"scooter",1259,3638,20,4,7,2018
"bicycle",481,1722,16,3,7,2018
"bicycle",1573,3524,20,6,7,2018
"scooter",1184,727,18,4,7,2018
"scooter",526,744,15,3,7,2018
"scooter",1077,1588,20,5,7,2018
"scooter",2547,1807,20,1,7,2018
"scooter",546,2005,12,5,7,2018
"scooter",1166,1701,20,3,7,2018
"scooter",2622,3386,13,4,7,2018
"scooter",276,1086,16,3,7,2018
"scooter",562,2562,10,4,7,2018
"scooter",1121,1431,18,6,7,2018
"scooter",1521,1744,20,6,7,2018
"scooter",1471,4031,12,1,7,2018
"scooter",1811,5107,12,0,7,2018
"scooter",799,1433,11,1,7,2018
"scooter",551,863,17,5,7,2018
"scooter",436,1160,15,2,7,2018
"scooter",1563,3974,16,1,7,2018
"scooter",502,1757,14,1,7,2018
"scooter",99,197,14,4,7,2018
"scooter",180,672,11,0,7,2018
"scooter",2271,4299,20,1,7,2018
"scooter",1613,1320,14,5,7,2018
"scooter",292,385,14,3,7,2018
"scooter",186,437,12,0,7,2018
"scooter",573,887,22,3,7,2018
"scooter",236,518,11,6,7,2018
"scooter",582,951,20,0,7,2018
"scooter",350,715,9,2,7,2018
"scooter",76,148,15,2,7,2018
"scooter",1407,3661,20,1,7,2018
"scooter",4,0,13,0,7,2018
"scooter",133,509,12,2,7,2018
"scooter",672,852,10,0,7,2018
"scooter",1281,1247,21,1,7,2018
"scooter",265,1102,8,4,7,2018
"scooter",336,1243,12,1,7,2018
"scooter",1306,2258,18,0,7,2018
"scooter",205,538,8,2,7,2018
"scooter",1743,5945,18,4,7,2018
"scooter",729,2075,18,0,7,2018
"scooter",202,419,12,5,7,2018
"scooter",400,1171,13,5,7,2018
"scooter",1227,3812,15,1,7,2018
"scooter",3885,0,13,6,7,2018
"scooter",699,1179,18,0,7,2018
"scooter",568,1197,21,5,7,2018
"scooter",424,1088,21,5,7,2018
"scooter",264,1299,12,4,7,2018
"scooter",1165,2271,16,0,7,2018
"scooter",1990,2835,18,2,7,2018
"scooter",1051,3460,11,0,7,2018
"scooter",599,2148,12,0,7,2018
"scooter",219,843,17,0,7,2018
"scooter",1013,2309,13,6,7,2018
"scooter",224,995,10,1,7,2018
"scooter",1355,2820,17,5,7,2018
"scooter",6443,2258,17,1,7,2018
"scooter",216,895,11,0,7,2018
"scooter",599,1188,14,0,7,2018
"scooter",664,1960,14,6,7,2018
"scooter",792,1072,12,3,7,2018
"scooter",2483,3402,13,6,7,2018
"scooter",135,625,17,1,7,2018
"scooter",1261,1633,20,3,7,2018
"bicycle",755,3154,18,3,7,2018
"scooter",749,1236,13,0,7,2018
"scooter",313,925,12,3,7,2018
"scooter",967,4437,2,0,7,2018
"scooter",248,834,7,3,7,2018
"bicycle",1395,4764,15,6,7,2018
"scooter",1427,3259,21,2,7,2018
"scooter",216,882,11,3,7,2018
"scooter",816,2890,12,3,7,2018
"scooter",629,2997,20,3,7,2018
"scooter",223,223,12,1,7,2018
"scooter",144,396,5,0,7,2018
"scooter",700,1058,8,1,7,2018
"scooter",236,658,12,1,7,2018
"scooter",1175,4365,14,0,7,2018
"scooter",1104,1594,3,0,7,2018
"scooter",140,618,8,2,7,2018
"scooter",2472,7408,19,2,7,2018
"scooter",179,764,12,3,7,2018
"scooter",478,1522,17,2,7,2018
"scooter",399,1290,8,5,7,2018
"scooter",254,622,13,6,7,2018
"scooter",429,957,17,2,7,2018
"bicycle",313,322,19,2,7,2018
"scooter",693,1642,13,2,7,2018
"scooter",555,1353,14,0,7,2018
"scooter",172,621,15,1,7,2018
"scooter",360,1474,17,6,7,2018
"scooter",647,644,21,0,7,2018
"scooter",428,1416,18,3,7,2018
"scooter",438,1153,15,0,7,2018
"bicycle",5192,4699,14,0,7,2018
"scooter",343,1350,15,1,7,2018
"scooter",337,196,14,0,7,2018
"scooter",1165,1584,15,1,7,2018
"scooter",512,911,9,5,7,2018
"scooter",829,2365,15,2,7,2018
"scooter",571,1946,17,6,7,2018
"scooter",1395,3582,8,5,7,2018
"scooter",337,895,14,0,7,2018
"scooter",666,3226,13,6,7,2018
"scooter",776,3587,18,5,7,2018
"scooter",98,117,14,3,7,2018
"scooter",873,3397,10,6,7,2018
"scooter",1374,5473,17,0,7,2018
"scooter",232,748,12,4,7,2018
"scooter",1612,4092,13,0,7,2018
"scooter",294,832,15,3,7,2018
"scooter",588,214,22,5,7,2018
"scooter",475,1439,13,6,7,2018
