"type","duration","distance","hour","day","month","year"
"scooter",41,16,19,6,8,2018
"scooter",827,0,21,0,8,2018
"scooter",509,47,17,4,8,2018
"scooter",512,899,20,0,8,2018
"scooter",63,20,12,5,8,2018
"scooter",3268,1994,20,3,8,2018
"scooter",18,0,13,4,8,2018
"bicycle",743,3396,12,4,8,2018
"scooter",187,621,11,3,8,2018
"scooter",2709,3910,20,4,8,2018
"scooter",111,362,14,1,8,2018
"scooter",194,730,12,5,8,2018
"scooter",1121,5257,13,1,8,2018
"scooter",471,1944,17,5,8,2018
"scooter",144,299,16,3,8,2018
"scooter",765,2355,10,5,8,2018
"scooter",465,1242,12,4,8,2018
"scooter",889,3626,17,1,8,2018
"scooter",700,2418,13,6,8,2018
"scooter",286,0,17,2,8,2018
"scooter",442,1589,7,4,8,2018
"scooter",270,254,21,2,8,2018
"scooter",149,450,13,4,8,2018
"scooter",352,1319,13,5,8,2018
"scooter",687,1176,19,5,8,2018
"scooter",164,179,14,6,8,2018
"scooter",260,444,18,4,8,2018
"scooter",1067,2718,18,6,8,2018
"scooter",1982,5020,11,0,8,2018
"scooter",416,713,10,5,8,2018
"scooter",179,0,7,2,8,2018
"scooter",103,0,18,1,8,2018
"scooter",802,1263,12,1,8,2018
"scooter",326,473,12,1,8,2018
"scooter",963,911,16,4,8,2018
"scooter",632,1941,2,5,8,2018
"scooter",1522,3788,16,1,8,2018
"scooter",1194,3810,12,5,8,2018
"scooter",442,1633,17,3,8,2018
"bicycle",400,1722,9,5,8,2018
"scooter",171,457,21,1,8,2018
"scooter",448,0,13,3,8,2018
"scooter",900,1802,15,6,8,2018
"scooter",332,1472,7,3,8,2018
"scooter",266,1526,13,2,8,2018
"scooter",1208,1063,16,4,8,2018
"scooter",514,1980,19,4,8,2018
"scooter",1318,1478,18,5,8,2018
"scooter",214,184,13,3,8,2018
"scooter",942,1978,9,0,8,2018
"scooter",624,2478,14,2,8,2018
"scooter",141,137,12,4,8,2018
"scooter",667,2098,21,0,8,2018
"scooter",37,34,10,6,8,2018
"scooter",112,261,18,4,8,2018
"scooter",1004,1994,14,3,8,2018
"scooter",1089,1346,22,5,8,2018
"scooter",129,368,14,6,8,2018
"scooter",501,1266,10,0,8,2018
"bicycle",1812,5922,15,6,8,2018
"scooter",658,2206,19,1,8,2018
"scooter",205,300,10,6,8,2018
"scooter",209,123,16,3,8,2018
"scooter",311,1070,17,4,8,2018
"scooter",324,458,11,4,8,2018
"scooter",231,569,12,2,8,2018
"scooter",265,685,19,3,8,2018
"scooter",116,68,11,0,8,2018
"scooter",502,1176,13,6,8,2018
"scooter",125,409,19,1,8,2018
"scooter",839,3200,5,4,8,2018
"scooter",425,2322,18,1,8,2018
"scooter",862,2213,19,0,8,2018
"scooter",443,1802,21,4,8,2018
"scooter",151,660,18,3,8,2018
"scooter",336,994,12,4,8,2018
"scooter",129,484,15,6,8,2018
"scooter",733,1357,19,1,8,2018
"scooter",1843,7056,11,2,8,2018
"bicycle",98,306,10,0,8,2018
"scooter",695,2630,19,5,8,2018
"scooter",164,632,15,1,8,2018
"scooter",266,930,13,5,8,2018
"scooter",1009,2026,14,4,8,2018
"scooter",535,1601,18,1,8,2018
"scooter",161,578,15,5,8,2018
"scooter",385,1658,12,3,8,2018
"scooter",804,2366,11,6,8,2018
"scooter",392,1265,18,5,8,2018
"scooter",1459,2557,19,1,8,2018
"scooter",448,0,14,0,8,2018
"scooter",693,2077,20,5,8,2018
"scooter",4150,3743,20,1,8,2018
"bicycle",780,4265,6,5,8,2018
"scooter",247,813,15,1,8,2018
"scooter",4230,9608,14,6,8,2018
"scooter",490,1723,13,5,8,2018
"scooter",125,0,21,1,8,2018
"scooter",327,1104,15,5,8,2018
"scooter",2284,3623,13,6,8,2018
"scooter",406,1187,19,3,8,2018
"scooter",2418,5556,12,6,8,2018
"scooter",158,0,14,1,8,2018
"scooter",240,685,5,2,8,2018
"scooter",140,479,9,3,8,2018
"scooter",1867,5478,15,0,8,2018
"scooter",49,39,15,1,8,2018
"scooter",327,1256,13,4,8,2018
"scooter",355,374,17,0,8,2018
"scooter",509,2757,17,4,8,2018
"scooter",411,1096,17,4,8,2018
"scooter",304,566,12,1,8,2018
"scooter",170,554,16,4,8,2018
"scooter",209,757,19,1,8,2018
"scooter",175,13296,6,4,8,2018
"scooter",2376,5178,21,1,8,2018
"scooter",651,1219,16,6,8,2018
"scooter",562,1592,11,0,8,2018
"scooter",946,4247,8,1,8,2018
"scooter",295,1059,19,3,8,2018
"scooter",297,419,0,4,8,2018
"scooter",286,658,13,3,8,2018
"scooter",245,805,20,3,8,2018
"scooter",234,564,11,5,8,2018
"scooter",877,3721,12,3,8,2018
"scooter",445,2089,20,2,8,2018
"scooter",252,1172,15,1,8,2018
"scooter",516,0,18,1,8,2018
"scooter",164,355,11,5,8,2018
"scooter",669,1354,16,1,8,2018
"scooter",262,286,19,0,8,2018
"scooter",2652,5419,12,0,8,2018
"scooter",351,794,10,4,8,2018
"scooter",338,1728,18,3,8,2018
"scooter",777,3838,15,4,8,2018
"scooter",1105,3365,16,6,8,2018
"scooter",284,835,17,4,8,2018
"scooter",89,0,7,5,8,2018
"scooter",1351,959,11,5,8,2018
"scooter",117,0,20,6,8,2018
"scooter",2168,4489,15,0,8,2018
"scooter",281,899,9,3,8,2018
"scooter",310,378,18,5,8,2018
"bicycle",599,1143,23,5,8,2018
"scooter",310,625,14,4,8,2018
"scooter",233,394,12,0,8,2018
"scooter",1764,590,17,4,8,2018
"scooter",98,21,11,0,8,2018
"scooter",259,626,13,6,8,2018
"scooter",319,1223,18,3,8,2018
"scooter",614,2006,15,6,8,2018
"scooter",726,2786,9,5,8,2018
"scooter",498,487,18,3,8,2018
