"type","duration","distance","hour","day","month","year"
"scooter",283,1053,16,6,9,2018
"scooter",906,2017,15,3,9,2018
"bicycle",3702,7500,13,6,9,2018
"scooter",377,1103,20,6,9,2018
"scooter",531,538,20,0,9,2018
"scooter",1068,2487,12,1,9,2018
"scooter",225,268,10,6,9,2018
"scooter",206,658,20,1,9,2018
"scooter",1233,2943,19,1,9,2018
"scooter",1070,3857,14,2,9,2018
"scooter",472,889,15,4,9,2018
"scooter",380,121,18,5,9,2018
"scooter",140,0,18,6,9,2018
"scooter",325,1263,8,1,9,2018
"scooter",216,0,9,2,9,2018
"scooter",688,2511,12,4,9,2018
"scooter",1059,58,14,6,9,2018
"scooter",347,690,10,2,9,2018
"scooter",747,1542,15,6,9,2018
"scooter",343,1472,16,0,9,2018
"scooter",793,2588,19,3,9,2018
"scooter",361,1157,12,5,9,2018
"scooter",116,0,14,5,9,2018
"scooter",237,536,11,0,9,2018
"scooter",514,2196,21,3,9,2018
"scooter",635,0,20,5,9,2018
"bicycle",2185,8320,10,6,9,2018
"scooter",298,1062,9,2,9,2018
"scooter",770,516,10,0,9,2018
"scooter",434,1363,8,2,9,2018
"scooter",117,138,18,1,9,2018
"scooter",171,558,11,5,9,2018
"scooter",279,0,18,2,9,2018
"scooter",1107,1766,18,5,9,2018
"scooter",172,515,10,3,9,2018
"scooter",448,1153,15,4,9,2018
"scooter",402,1465,8,3,9,2018
"scooter",1921,5760,8,6,9,2018
"scooter",10,0,11,0,9,2018
"scooter",457,1400,18,6,9,2018
"scooter",394,0,15,4,9,2018
"scooter",301,1323,17,1,9,2018
"scooter",1151,3351,17,0,9,2018
"scooter",131,360,16,3,9,2018
"scooter",125,0,18,2,9,2018
"scooter",650,547,16,0,9,2018
"scooter",403,0,19,6,9,2018
"scooter",624,231,18,3,9,2018
"scooter",377,838,15,2,9,2018
"scooter",962,2278,1,2,9,2018
"scooter",194,500,13,5,9,2018
"scooter",2118,3965,14,0,9,2018
"scooter",464,0,18,0,9,2018
"scooter",170,344,12,6,9,2018
"scooter",676,2561,19,2,9,2018
"scooter",37,0,18,0,9,2018
"scooter",339,0,13,5,9,2018
"scooter",1944,2891,14,6,9,2018
"scooter",165,0,16,4,9,2018
"scooter",124,0,16,5,9,2018
"scooter",196,885,19,4,9,2018
"scooter",345,1049,19,0,9,2018
"scooter",505,1822,9,0,9,2018
"scooter",1136,0,12,3,9,2018
"scooter",592,1806,16,6,9,2018
"scooter",356,1685,13,1,9,2018
"scooter",643,591,15,0,9,2018
"scooter",345,502,15,3,9,2018
"scooter",763,2400,19,6,9,2018
"scooter",304,100,18,0,9,2018
"bicycle",473,1996,23,6,9,2018
"scooter",332,849,11,6,9,2018
"scooter",928,908,12,4,9,2018
"scooter",618,1137,18,6,9,2018
"scooter",452,652,12,1,9,2018
"scooter",755,1040,23,4,9,2018
"scooter",385,1404,18,6,9,2018
"scooter",160,0,21,1,9,2018
"scooter",118,346,17,4,9,2018
"scooter",215,309,21,6,9,2018
"scooter",118,256,16,4,9,2018
"scooter",165,480,12,3,9,2018
"scooter",313,853,16,2,9,2018
"scooter",324,840,18,2,9,2018
"scooter",230,1006,21,0,9,2018
"scooter",1429,2218,20,6,9,2018
"scooter",307,1001,10,5,9,2018
"scooter",89,74,17,6,9,2018
"scooter",69,0,12,2,9,2018
"scooter",513,1702,20,5,9,2018
"scooter",1467,2258,17,2,9,2018
"scooter",991,1957,17,0,9,2018
"scooter",491,1700,9,5,9,2018
"scooter",206,600,10,3,9,2018
"scooter",1317,2375,14,0,9,2018
"scooter",453,1616,16,3,9,2018
"scooter",387,960,14,4,9,2018
"scooter",86,124,13,6,9,2018
"bicycle",433,1867,17,6,9,2018
"scooter",411,1100,9,0,9,2018
"scooter",121,122,14,6,9,2018
"scooter",500,1684,19,1,9,2018
"scooter",306,1046,18,0,9,2018
"scooter",862,665,12,0,9,2018
"scooter",392,1220,14,6,9,2018
"scooter",364,1222,12,5,9,2018
"scooter",115,476,15,3,9,2018
"scooter",170,0,14,2,9,2018
"scooter",424,1107,12,2,9,2018
"scooter",282,1158,9,5,9,2018
"scooter",156,144,12,2,9,2018
"scooter",1100,2400,18,5,9,2018
"scooter",212,260,18,1,9,2018
"scooter",125,47,17,0,9,2018
"scooter",167,434,13,1,9,2018
"scooter",668,0,19,0,9,2018
"scooter",261,823,18,6,9,2018
"scooter",128,219,19,6,9,2018
"scooter",387,975,9,5,9,2018
"scooter",835,0,12,5,9,2018
"scooter",1331,2081,9,6,9,2018
"scooter",383,0,12,4,9,2018
"scooter",722,1942,17,3,9,2018
"scooter",370,536,20,4,9,2018
"scooter",606,2416,17,3,9,2018
"scooter",329,0,7,4,9,2018
"scooter",648,1028,19,5,9,2018
"scooter",612,0,14,5,9,2018
"scooter",2267,3652,20,6,9,2018
"scooter",192,0,18,6,9,2018
"scooter",255,616,12,0,9,2018
"scooter",353,0,13,3,9,2018
"scooter",401,1248,15,3,9,2018
"scooter",558,1523,17,3,9,2018
"scooter",402,707,19,0,9,2018
"scooter",593,766,13,6,9,2018
"scooter",169,577,14,4,9,2018
"scooter",382,1855,12,3,9,2018
"scooter",295,554,12,5,9,2018
"scooter",463,1102,20,5,9,2018
"scooter",63,0,17,0,9,2018
"scooter",49,0,18,0,9,2018
"scooter",2360,6234,16,3,9,2018
"scooter",232,977,16,6,9,2018
"scooter",363,1392,19,1,9,2018
"scooter",252,309,14,2,9,2018
"scooter",158,0,22,4,9,2018
"scooter",683,1930,16,4,9,2018
"scooter",1727,2920,17,0,9,2018
"scooter",633,1636,13,2,9,2018
