"ID","Device ID","Vehicle Type","Trip Duration","Trip Distance","Start Time","End Time","Modified Date","Month","Hour","Day of Week","Council District (Start)","Council District (End)","Year"
"0adb2ee9-ad3f-4673-a9bc-92f7f10eca5b","cd51e7e9-a5b6-4204-ba9e-f17b864ff9cd","scooter",533,1279,"05/31/2018 08:30:00 PM","05/31/2018 08:45:00 PM","12/13/2018 03:36:12 PM",5,20,4,0,0,2018
"029ad86d-e933-4ed7-b21b-a85256fcbb0d","a4bcec18-439c-41d1-804c-a74c59931309","scooter",1607,1406,"05/29/2018 12:15:00 PM","05/29/2018 12:45:00 PM","12/13/2018 08:33:12 AM",5,12,2,9,9,2018
"d1a6326c-aaa6-44f2-a80c-0c30af3d2314","b5d18315-b026-4373-a138-6473b62c1bd5","scooter",957,3442,"05/28/2018 02:45:00 PM","05/28/2018 03:00:00 PM","12/13/2018 03:44:45 PM",5,14,1,9,9,2018
"b63cd9dd-3030-4734-955b-c4abec2d4dad","faa9b762-1a9f-40c1-ab64-700eb27ee433","scooter",660,1302,"05/25/2018 11:00:00 AM","05/25/2018 11:15:00 AM","12/13/2018 08:43:35 AM",5,11,5,9,9,2018
"d637fe6d-a65b-4be1-b299-99d14237175f","69282210-ca06-4bdf-b3d1-68e67e344d25","scooter",2798,3891,"05/26/2018 02:30:00 PM","05/26/2018 03:15:00 PM","12/13/2018 09:00:39 AM",5,14,6,9,9,2018
"e6934234-1458-42b7-a3d8-3e56cf4ec520","c840a3e3-23a7-4c1e-ae93-173be1782044","scooter",1128,3759,"05/29/2018 04:30:00 PM","05/29/2018 04:45:00 PM","12/13/2018 08:36:16 AM",5,16,2,9,9,2018
"2bb78185-0522-4285-9715-45cc680af971","db22997b-ef9f-4eb7-be57-502c23112d4f","scooter",172,239,"05/31/2018 08:45:00 AM","05/31/2018 08:45:00 AM","12/13/2018 03:49:14 PM",5,8,4,9,9,2018
"bfbf2ca1-e421-4237-b95c-6cfbe0e50785","a8883da7-13a6-45c4-a9f2-b2e0d20cc100","scooter",314,850,"05/26/2018 10:30:00 AM","05/26/2018 10:30:00 AM","12/13/2018 03:36:12 PM",5,10,6,9,9,2018
"137d3afb-658c-44bc-84a6-45c3d843663c","c840a3e3-23a7-4c1e-ae93-173be1782044","scooter",826,1199,"05/26/2018 07:30:00 PM","05/26/2018 07:45:00 PM","12/13/2018 09:04:13 AM",5,19,6,3,9,2018
"050ee89b-64ed-422d-a3d8-50b76dec4432","d7dffd7c-cbc2-468b-a148-46889bdc4ec5","scooter",261,817,"05/30/2018 11:45:00 AM","05/30/2018 11:45:00 AM","12/13/2018 03:43:45 PM",5,11,3,9,9,2018
