"ID","Device ID","Vehicle Type","Trip Duration","Trip Distance","Start Time","End Time","Modified Date","Month","Hour","Day of Week","Council District (Start)","Council District (End)","Year"
"8b83e32e-c26d-4d84-b3ff-fe859c1fd215","4c8fe046-1d21-4d3a-892c-32c69ae9f1c9","scooter",1010,940,"07/28/2018 07:15:00 PM","07/28/2018 07:30:00 PM","12/12/2018 09:39:56 PM",7,19,6,9,8,2018
"c186e71c-0ccf-41f5-acab-4db341d42cfb","691b769b-03a8-41e6-9efa-a58b8a0933ba","scooter",2308,5350,"07/01/2018 01:30:00 PM","07/01/2018 02:15:00 PM","12/13/2018 03:54:42 PM",7,13,0,9,9,2018
"c6551557-5a40-48dd-9264-c3716b1aa64a","519a96ff-7d71-45a2-bdb9-70f9856fba40","scooter",374,360,"07/13/2018 02:45:00 PM","07/13/2018 02:45:00 PM","12/13/2018 03:38:53 PM",7,14,5,9,9,2018
"334d2284-227a-4c33-9830-9756680c47a3","ebe35ca2-d0f3-4c1d-ae7a-14bbb8614294","scooter",569,1540,"07/13/2018 08:45:00 PM","07/13/2018 09:00:00 PM","12/12/2018 09:32:58 PM",7,20,5,9,5,2018
"c464a893-9c74-414c-b18b-31225263ae08","22c411f0-d44b-4886-9f28-240542bc8bfe","scooter",290,1098,"07/05/2018 10:00:00 AM","07/05/2018 10:00:00 AM","12/12/2018 09:11:03 PM",7,10,4,9,9,2018
"7727ae01-4107-4ae4-9536-f2ef2ee20477","7297f490-ae1f-4dc6-9ad9-6a3f51c25e10","scooter",414,1277,"07/13/2018 06:30:00 PM","07/13/2018 06:45:00 PM","12/13/2018 03:57:50 PM",7,18,5,1,1,2018
"3ee54551-a945-4225-b710-12f4c5d06c31","b0fdc6f0-a3d7-4075-b6d5-60d4d0c2f96d","scooter",375,698,"07/22/2018 03:30:00 PM","07/22/2018 03:30:00 PM","12/13/2018 03:38:35 PM",7,15,0,5,9,2018
"63a36b5e-bbc1-4f44-b57c-9b97bad5335a","a5f0d647-0221-4cef-aca1-03d5dd9fb044","scooter",278,828,"07/14/2018 11:15:00 AM","07/14/2018 11:15:00 AM","12/13/2018 03:47:58 PM",7,11,6,9,9,2018
"8db95bb4-02f9-43b9-8a3d-26e8c19db795","f6281628-733a-4a29-b74f-378f036873eb","scooter",223,465,"07/23/2018 10:00:00 AM","07/23/2018 10:15:00 AM","12/13/2018 03:39:58 PM",7,10,1,9,9,2018
"c3e7b891-4fdc-4d43-b1d5-3d64af6847f1","f6d46b93-25f4-4868-b838-4a39912b731d","scooter",619,2603,"07/19/2018 05:00:00 PM","07/19/2018 05:00:00 PM","12/12/2018 09:47:45 PM",7,17,4,9,9,2018
"83a5ddad-24ed-4c9d-a500-cb6c29174eea","9af5d494-867e-49b5-9a76-357ebb16ffa1","scooter",13,0,"07/06/2018 09:30:00 AM","07/06/2018 09:30:00 AM","12/13/2018 03:45:37 PM",7,9,5,9,9,2018
"9f04cc12-3d03-4c82-b790-497b9c7291cf","4c8fe046-1d21-4d3a-892c-32c69ae9f1c9","scooter",351,523,"07/30/2018 04:00:00 PM","07/30/2018 04:15:00 PM","12/12/2018 09:16:07 PM",7,16,1,9,9,2018
"1bfc87d9-6b8e-4d1c-83c4-609d9a623613","e3d3814d-56f7-4e31-9295-137c91e07da6","scooter",1355,2386,"07/26/2018 09:00:00 AM","07/26/2018 09:30:00 AM","12/12/2018 09:46:16 PM",7,9,4,9,9,2018
"8bb1f3f0-f1f7-4069-b5bc-0754ca98d8b7","22c411f0-d44b-4886-9f28-240542bc8bfe","scooter",201,365,"07/03/2018 12:00:00 PM","07/03/2018 12:15:00 PM","12/12/2018 09:29:09 PM",7,12,2,9,9,2018
"98bddb4f-c612-475d-91cc-be8b3d65a06b","5e4ad099-e8fb-4c85-9add-bce2aed206fd","scooter",517,1645,"07/25/2018 08:45:00 AM","07/25/2018 09:00:00 AM","12/13/2018 03:39:19 PM",7,8,3,9,9,2018
"0470acf5-fed1-45af-918d-fae776bdbec6","a62b4e89-272e-42cf-8d2c-fb35f7b86f17","scooter",279,233,"07/16/2018 02:15:00 PM","07/16/2018 02:30:00 PM","12/12/2018 09:20:27 PM",7,14,1,9,9,2018
"3775a65e-0be3-466c-87f5-4bdb469e3e2a","0b571fc7-8b70-47f6-89bb-257da89ce533","scooter",397,1597,"07/30/2018 07:30:00 AM","07/30/2018 07:45:00 AM","12/13/2018 03:39:13 PM",7,7,1,9,9,2018
"c408a287-34c7-4737-957b-377e615d27d9","e79b25c9-d358-4298-9c8b-762fb13698d5","scooter",492,1192,"07/20/2018 09:15:00 AM","07/20/2018 09:15:00 AM","12/12/2018 09:26:46 PM",7,9,5,9,1,2018
"52e4ea39-1422-4f36-93e7-fc8e15dc9496","323ac965-3c70-4ac6-b47e-57da5f56ca1e","scooter",393,598,"07/28/2018 02:30:00 PM","07/28/2018 02:30:00 PM","12/12/2018 09:37:21 PM",7,14,6,9,9,2018
"1d000648-e926-4394-a88b-4d384ba5eab1","72319c58-1a2c-4a82-a1c4-85476c45842b","scooter",1702,2750,"07/08/2018 02:15:00 PM","07/08/2018 02:30:00 PM","12/13/2018 03:54:24 PM",7,14,0,1,9,2018
"db695cb3-9b9c-4776-b0fb-3b3cbf93e4cc","b46d8cf0-b44e-4d04-b664-ecfa45382562","scooter",421,1982,"07/03/2018 05:45:00 PM","07/03/2018 05:45:00 PM","12/13/2018 03:38:08 PM",7,17,2,9,9,2018
"c901e725-640d-4aee-bcd6-0fd3e9df53b6","988391cc-5791-499a-b080-8c22a67c64a5","scooter",206,262,"07/26/2018 08:15:00 PM","07/26/2018 08:15:00 PM","12/13/2018 03:40:18 PM",7,20,4,9,9,2018
"a0af219c-ba44-4028-bfe3-9bfb28faab58","c08258d7-911b-4773-a111-3b472f60d717","scooter",1708,3653,"07/24/2018 02:30:00 PM","07/24/2018 03:00:00 PM","12/13/2018 03:54:30 PM",7,14,2,1,5,2018
"30c25b7f-ed1a-472d-acda-84e8ab6cbb96","ab633ec1-8403-491c-a5de-52bc7b3c1ecd","scooter",1739,5932,"07/09/2018 05:45:00 AM","07/09/2018 06:15:00 AM","12/13/2018 03:50:51 PM",7,5,1,9,3,2018
