"ID","Device ID","Vehicle Type","Trip Duration","Trip Distance","Start Time","End Time","Modified Date","Month","Hour","Day of Week","Council District (Start)","Council District (End)","Year"
"1360ace1-cff3-49e6-89ad-cca16de9d49b","b504150d-9a14-42d9-a10d-65c18a20bd2a","scooter",238,537,"12/05/2018 12:30:00 PM","12/05/2018 12:30:00 PM","12/12/2018 09:18:09 PM",12,12,3,9,9,2018
"13942d77-9ada-43b0-89f0-0327a6d2f8ba","be53d169-5297-4b61-92cc-653b2b843bf9","scooter",168,161,"12/20/2018 10:45:00 PM","12/20/2018 10:45:00 PM","03/13/2019 09:03:30 PM",12,22,4,5,5,2018
"e43a4a95-9021-4e4d-992b-c98615030e51","8d118635-bdc8-413e-b012-934c57b58459","scooter",1598,1404,"12/23/2018 02:30:00 PM","12/23/2018 02:45:00 PM","12/23/2018 09:02:12 PM",12,14,0,1,9,2018
"5c430d96-a796-4f89-b327-5e19bd2c0bbe","d2af0e52-36c3-4d6c-9dea-74a35327ce0b","scooter",238,213,"12/16/2018 11:00:00 AM","12/16/2018 11:00:00 AM","12/16/2018 10:47:45 PM",12,11,0,9,9,2018
"71b119ce-2080-4e2f-b471-5dee0da377cc","da07372e-08f3-4c80-b7e6-e2003845e83a","scooter",219,694,"12/01/2018 07:30:00 PM","12/01/2018 07:30:00 PM","12/13/2018 03:38:31 PM",12,19,6,9,9,2018
"eeebb6db-84a8-47ab-9d2a-adb4155a251f","7a15128c-637c-47b7-9565-805701002876","scooter",370,518,"12/27/2018 07:15:00 PM","12/27/2018 07:15:00 PM","12/28/2018 01:47:15 AM",12,19,4,9,9,2018
"c3915489-9cd5-48c4-b2d0-62776c51f6ca","9c3dadbe-4879-4efa-8653-fbe1fed9d67d","scooter",845,1361,"12/19/2018 07:00:00 PM","12/19/2018 07:15:00 PM","12/20/2018 01:32:14 AM",12,19,3,9,9,2018
"88d2f01c-ce01-4faa-9c2b-aa02084bbc24","08b338f4-ecd7-44d8-a880-445ea2c56da8","scooter",422,1073,"12/19/2018 12:45:00 PM","12/19/2018 01:00:00 PM","12/19/2018 10:20:52 PM",12,12,3,9,9,2018
"4c52625a-11c2-4f32-85c8-c8d5c12fe85c","dcc75e47-9fb6-4d28-87ce-17cbeb228abd","scooter",346,464,"12/13/2018 05:30:00 PM","12/13/2018 05:30:00 PM","12/16/2018 09:34:25 PM",12,17,4,9,9,2018
"4798e7d4-a9ea-441b-91d1-6e4c78532f67","059ee7ba-72ae-4de5-afe1-889a19e30691","scooter",182,397,"12/19/2018 11:15:00 AM","12/19/2018 11:15:00 AM","12/19/2018 10:20:25 PM",12,11,3,7,7,2018
"4288c757-b74b-4647-a237-de66811878bf","e103fdfe-404e-49de-a5d2-4d3cfb0e0a17","scooter",1347,2325,"12/28/2018 09:15:00 PM","12/28/2018 09:45:00 PM","12/29/2018 03:47:15 AM",12,21,5,9,9,2018
"600debf8-9f22-490e-a00a-25a577bfb5e9","c0a2ad29-e265-4159-91da-a2e4b1e53e55","scooter",403,661,"12/29/2018 04:30:00 PM","12/29/2018 04:45:00 PM","12/29/2018 11:02:14 PM",12,16,6,9,9,2018
"3c0252fd-3c19-40d2-a717-8b812f20acb7","c29bc21d-b912-4ee4-b286-b6ce5b70548a","scooter",139,344,"12/01/2018 10:00:00 PM","12/01/2018 10:00:00 PM","12/12/2018 09:11:22 PM",12,22,6,9,9,2018
"95e8d7fb-79a4-4583-877e-55492a52bf1b","3d0d12d0-a437-455a-b804-ae6d1389eba4","scooter",142,271,"12/12/2018 05:30:00 PM","12/12/2018 05:30:00 PM","12/16/2018 09:32:12 PM",12,17,3,9,1,2018
"dafe9e51-4baf-4bbb-a2d9-656784f60004","d0b4eab0-b30c-457e-b16a-d131600d6de3","scooter",338,900,"12/03/2018 02:45:00 PM","12/03/2018 03:00:00 PM","12/13/2018 03:28:56 PM",12,14,1,9,9,2018
"0bf9b794-6f6d-45b8-af53-3b1c7bcd6c83","3124e5d8-305b-4481-a728-1e9261d85b8b","scooter",797,3725,"12/29/2018 03:45:00 PM","12/29/2018 03:45:00 PM","12/29/2018 10:02:17 PM",12,15,6,9,3,2018
"3b146bbc-4d13-4098-a0bc-51a891601b5c","4bf1d6fc-fa5a-4e73-9669-6ced79e469d0","scooter",449,1101,"12/02/2018 10:30:00 AM","12/02/2018 10:45:00 AM","12/13/2018 03:21:35 PM",12,10,0,9,9,2018
