"ID","Device ID","Vehicle Type","Trip Duration","Trip Distance","Start Time","End Time","Modified Date","Month","Hour","Day of Week","Council District (Start)","Council District (End)","Year"
"b2280df9-0682-4e0b-8644-4e2b5258f1bd","345f0133-cf73-408d-b1e2-b1acbf30ff9a","bicycle",514,1085,"01/21/2019 08:45:00 PM","01/21/2019 09:00:00 PM","01/23/2019 10:39:11 PM",1,20,1,9,3,2019
"ac285a8e-d098-4a00-b078-9d86e8983ec9","717eb489-a236-41d5-8f50-fbacfa933e0a","scooter",374,17,"01/14/2019 05:15:00 PM","01/14/2019 05:30:00 PM","01/14/2019 11:47:13 PM",1,17,1,9,9,2019
"19981580-fe9e-49c1-8682-493f6d05e2cc","271e4d8f-a406-4409-bd70-b5178b9d439e","scooter",337,500,"01/10/2019 11:30:00 AM","01/10/2019 11:30:00 AM","01/10/2019 05:47:14 PM",1,11,4,9,9,2019
"d1169771-07f0-4be0-b731-5af682671eb6","498487e1-09a0-439a-a252-f6765fbb7cbc","scooter",221,774,"01/03/2019 05:00:00 PM","01/03/2019 05:15:00 PM","01/03/2019 11:32:13 PM",1,17,4,9,9,2019
"5a9dcce0-c6d6-457e-a099-d30d458833af","0b178bde-f8f8-4142-bc57-c683d9ce478a","scooter",229,835,"01/05/2019 10:15:00 AM","01/05/2019 10:15:00 AM","01/05/2019 04:32:10 PM",1,10,6,9,9,2019
"5cd43535-9e89-4601-a0cd-56d4351f2920","fa62d4df-88a2-409a-a482-a29ca244ffa5","scooter",512,994,"01/24/2019 12:15:00 PM","01/24/2019 12:30:00 PM","01/24/2019 06:47:35 PM",1,12,4,9,9,2019
"4d8adc27-99e5-4eee-b794-8b099a869f04","b79582d1-08fc-4fe1-a876-99a379e1ec20","scooter",386,638,"01/16/2019 12:00:00 PM","01/16/2019 12:15:00 PM","01/16/2019 06:32:13 PM",1,12,3,9,9,2019
"2bc47da4-99d8-4efd-99c7-c600685b96a6","f95454c6-cc39-49ad-b356-a55a5483359d","scooter",1126,3487,"01/28/2019 07:30:00 PM","01/28/2019 07:45:00 PM","01/29/2019 02:02:12 AM",1,19,1,9,3,2019
"7d33506c-83af-40a4-a3ac-895f2e85440c","2db06cbb-69a0-402f-9efb-eef4d83bff59","scooter",261,811,"01/04/2019 07:15:00 AM","01/04/2019 07:15:00 AM","01/04/2019 01:42:03 PM",1,7,5,9,9,2019
"bf39c7ce-2808-43e9-a645-3e12ec230057","573f9e20-d2a1-4342-afcb-c93ae4984ec3","scooter",509,1904,"01/30/2019 01:00:00 PM","01/30/2019 01:15:00 PM","01/30/2019 07:32:13 PM",1,13,3,9,9,2019
