"ID","Device ID","Vehicle Type","Trip Duration","Trip Distance","Start Time","End Time","Modified Date","Month","Hour","Day of Week","Council District (Start)","Council District (End)","Year"
"3407e8c9-7cf0-4d5f-85d8-efd081937a8d","e155afc2-0068-4fce-8976-9ab7423f00f2","scooter",1179,2467,"04/26/2018 11:00:00 AM","04/26/2018 11:30:00 AM","12/13/2018 03:42:07 PM",4,11,4,9,9,2018
"378462db-cc9c-4188-8117-76fcb15aeae5","b75f0a1f-1fd0-4704-9803-9786c29bd113","scooter",1579,6360,"04/19/2018 07:15:00 PM","04/19/2018 07:45:00 PM","12/13/2018 06:45:53 AM",4,19,4,5,5,2018
"4b595432-c425-4842-b979-4f2773456bdf","b72ef7d0-7b8f-401c-81db-721319a00360","scooter",354,750,"04/26/2018 05:00:00 PM","04/26/2018 05:00:00 PM","12/13/2018 03:46:14 PM",4,17,4,9,9,2018
"901145fa-ec4e-4f2b-b872-af167f94a28e","1069607a-5343-44f6-8ce5-b4fe4a80f7b7","scooter",1208,3145,"04/14/2018 01:15:00 PM","04/14/2018 01:45:00 PM","12/13/2018 03:40:03 PM",4,13,6,9,9,2018
"7c3e9b69-3521-4d57-96a6-60954b94afde","30429189-aa99-4321-90c8-14f44ccb10aa","scooter",315,501,"04/24/2018 12:00:00 PM","04/24/2018 12:00:00 PM","12/13/2018 03:39:10 PM",4,12,2,9,9,2018
"e229c8f6-aeb7-4c7f-aeb1-dccff2aef738","8fdf84d0-73b1-42aa-a73c-e8b819b27682","scooter",3812,7487,"04/25/2018 12:30:00 PM","04/25/2018 01:30:00 PM","12/13/2018 03:46:44 PM",4,12,3,9,9,2018
"09e9ae6f-a1c2-49a1-a845-f30bd8a88658","7a7f3739-d8c5-481c-80ce-320fcaa6886d","scooter",625,2331,"04/19/2018 02:45:00 PM","04/19/2018 03:00:00 PM","12/13/2018 03:54:03 PM",4,14,4,9,9,2018
"cbbbd59f-8b56-4fcb-9033-d5c2d7903c7a","682b1e89-5358-4508-bc17-cf34fac8813c","scooter",267,649,"04/26/2018 01:00:00 PM","04/26/2018 01:00:00 PM","12/13/2018 03:40:49 PM",4,13,4,9,9,2018
"f9429f89-099d-4d6d-b56d-535925e0f435","20725e5d-8d2a-45ea-82cd-7f361195e29e","scooter",328,762,"04/20/2018 11:45:00 AM","04/20/2018 12:00:00 PM","12/13/2018 06:53:40 AM",4,11,5,9,9,2018
"30f2b6d9-679c-4325-a34d-cadeb41a60d6","11e34b72-3f74-4ded-8d4d-bbfc5161ea09","scooter",27,0,"04/13/2018 05:45:00 PM","04/13/2018 05:45:00 PM","12/13/2018 03:42:55 PM",4,17,5,1,1,2018
"4279e99b-51e2-4f0c-82f6-6e323656f0b2","89987244-f9ee-4ab8-8e11-8ee87e657e46","scooter",108,411,"04/16/2018 10:15:00 AM","04/16/2018 10:15:00 AM","12/13/2018 07:12:17 AM",4,10,1,9,9,2018
"1fdd33ec-f5b5-426f-b112-6f169172712d","b42bf773-7cdc-42d1-8481-ab32c906e89d","scooter",568,1624,"04/26/2018 09:15:00 AM","04/26/2018 09:15:00 AM","12/13/2018 03:56:11 PM",4,9,4,9,9,2018
"c7bdf21c-ba5b-4b75-b1b6-c19f5829770c","b524f87c-f66b-4fcc-b4b1-fbb40de6f1c9","scooter",237,583,"04/17/2018 12:45:00 PM","04/17/2018 12:45:00 PM","12/13/2018 03:42:55 PM",4,12,2,9,0,2018
"93ad89ac-189a-4adb-9a6f-3ce115ef1b05","74244ed3-0b2f-4925-987a-90424d6be521","scooter",239,572,"04/20/2018 11:30:00 AM","04/20/2018 11:30:00 AM","12/13/2018 06:53:23 AM",4,11,5,9,9,2018
"3ae058a8-e3a4-44a9-b983-546e124e329c","979d5d5e-f62c-4a95-a980-e5609a15fd1c","scooter",1738,7253,"04/13/2018 02:00:00 PM","04/13/2018 02:30:00 PM","12/13/2018 03:38:08 PM",4,14,5,9,3,2018
"76bb0ddc-71e1-4546-bce6-431b74382a8b","40987ec8-23a4-4dc8-9fbf-cecdc1287ae4","scooter",438,1017,"04/12/2018 11:00:00 AM","04/12/2018 11:00:00 AM","12/13/2018 03:42:55 PM",4,11,4,9,9,2018
"04aa60a5-4f3c-4edb-a97f-2fdc29b40cbf","11386927-1ab2-4e57-8b3d-c2050c73395f","scooter",312,1410,"04/27/2018 08:30:00 AM","04/27/2018 08:45:00 AM","12/13/2018 03:52:19 PM",4,8,5,9,9,2018
